iteration: 500 	 runtime: 5.002001523971558 	 SAT: 88.4823
iteration: 500 	 runtime: 4.507173776626587 	 SAT: 87.1926
iteration: 500 	 runtime: 4.775533676147461 	 SAT: 88.2723
iteration: 500 	 runtime: 5.18354058265686 	 SAT: 87.6725
iteration: 500 	 runtime: 5.064467430114746 	 SAT: 87.3425
iteration: 500 	 runtime: 4.314946174621582 	 SAT: 87.9724
iteration: 500 	 runtime: 3.7937119007110596 	 SAT: 87.8824
iteration: 500 	 runtime: 4.235843658447266 	 SAT: 87.1326
iteration: 500 	 runtime: 3.7790749073028564 	 SAT: 88.0924
iteration: 500 	 runtime: 3.281311511993408 	 SAT: 87.4925
iteration: 1000 	 runtime: 8.144726276397705 	 SAT: 88.0024
iteration: 1000 	 runtime: 8.69323992729187 	 SAT: 87.5225
iteration: 1000 	 runtime: 7.232165813446045 	 SAT: 88.3623
iteration: 1000 	 runtime: 7.084814786911011 	 SAT: 87.2825
iteration: 1000 	 runtime: 6.8973963260650635 	 SAT: 88.1224
iteration: 1000 	 runtime: 7.147285461425781 	 SAT: 87.1626
iteration: 1000 	 runtime: 7.239971876144409 	 SAT: 89.3521
iteration: 1000 	 runtime: 6.858319520950317 	 SAT: 88.4523
iteration: 1000 	 runtime: 6.9042582511901855 	 SAT: 88.3923
iteration: 1000 	 runtime: 6.851525068283081 	 SAT: 88.5723
iteration: 1500 	 runtime: 10.888265371322632 	 SAT: 88.4223
iteration: 1500 	 runtime: 10.967323541641235 	 SAT: 88.0624
iteration: 1500 	 runtime: 10.447112560272217 	 SAT: 87.4025
iteration: 1500 	 runtime: 10.991719484329224 	 SAT: 88.1524
iteration: 1500 	 runtime: 10.278266191482544 	 SAT: 87.9424
iteration: 1500 	 runtime: 10.494935750961304 	 SAT: 88.8722
iteration: 1500 	 runtime: 10.293882608413696 	 SAT: 88.0324
iteration: 1500 	 runtime: 10.262596607208252 	 SAT: 88.9022
iteration: 1500 	 runtime: 10.535929441452026 	 SAT: 87.7325
iteration: 1500 	 runtime: 10.28706979751587 	 SAT: 88.7522
iteration: 2000 	 runtime: 13.706956624984741 	 SAT: 88.1224
iteration: 2000 	 runtime: 13.708906412124634 	 SAT: 88.2124
iteration: 2000 	 runtime: 14.188125610351562 	 SAT: 88.7822
iteration: 2000 	 runtime: 16.932637453079224 	 SAT: 87.7624
iteration: 2000 	 runtime: 14.721017599105835 	 SAT: 89.2322
iteration: 2000 	 runtime: 13.74892282485962 	 SAT: 87.5825
iteration: 2000 	 runtime: 13.745017528533936 	 SAT: 88.0924
iteration: 2000 	 runtime: 13.99295449256897 	 SAT: 88.6923
iteration: 2000 	 runtime: 13.838716506958008 	 SAT: 87.3425
iteration: 2000 	 runtime: 13.919724225997925 	 SAT: 89.6821
iteration: 2500 	 runtime: 18.764594078063965 	 SAT: 88.1824
iteration: 2500 	 runtime: 17.161998510360718 	 SAT: 88.0924
